Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;;Total;Total;450.687
Total Nacional;;Total;Hombres;231.447
Total Nacional;;Total;Mujeres;219.240
Total Nacional;;Enero;Total;52.147
Total Nacional;;Enero;Hombres;26.902
Total Nacional;;Enero;Mujeres;25.245
Total Nacional;;Febrero;Total;40.542
Total Nacional;;Febrero;Hombres;21.260
Total Nacional;;Febrero;Mujeres;19.282
Total Nacional;;Marzo;Total;36.864
Total Nacional;;Marzo;Hombres;19.447
Total Nacional;;Marzo;Mujeres;17.417
Total Nacional;;Abril;Total;34.494
Total Nacional;;Abril;Hombres;17.711
Total Nacional;;Abril;Mujeres;16.783
Total Nacional;;Mayo;Total;34.200
Total Nacional;;Mayo;Hombres;17.643
Total Nacional;;Mayo;Mujeres;16.557
Total Nacional;;Junio;Total;32.376
Total Nacional;;Junio;Hombres;16.396
Total Nacional;;Junio;Mujeres;15.980
Total Nacional;;Julio;Total;35.300
Total Nacional;;Julio;Hombres;18.024
Total Nacional;;Julio;Mujeres;17.276
Total Nacional;;Agosto;Total;38.126
Total Nacional;;Agosto;Hombres;19.405
Total Nacional;;Agosto;Mujeres;18.721
Total Nacional;;Septiembre;Total;32.803
Total Nacional;;Septiembre;Hombres;16.857
Total Nacional;;Septiembre;Mujeres;15.946
Total Nacional;;Octubre;Total;34.516
Total Nacional;;Octubre;Hombres;17.575
Total Nacional;;Octubre;Mujeres;16.941
Total Nacional;;Noviembre;Total;36.968
Total Nacional;;Noviembre;Hombres;18.650
Total Nacional;;Noviembre;Mujeres;18.318
Total Nacional;;Diciembre;Total;42.351
Total Nacional;;Diciembre;Hombres;21.577
Total Nacional;;Diciembre;Mujeres;20.774
Total Nacional;01 Andalucía;Total;Total;79.498
Total Nacional;01 Andalucía;Total;Hombres;41.065
Total Nacional;01 Andalucía;Total;Mujeres;38.433
Total Nacional;01 Andalucía;Enero;Total;9.238
Total Nacional;01 Andalucía;Enero;Hombres;4.769
Total Nacional;01 Andalucía;Enero;Mujeres;4.469
Total Nacional;01 Andalucía;Febrero;Total;7.615
Total Nacional;01 Andalucía;Febrero;Hombres;4.030
Total Nacional;01 Andalucía;Febrero;Mujeres;3.585
Total Nacional;01 Andalucía;Marzo;Total;6.688
Total Nacional;01 Andalucía;Marzo;Hombres;3.566
Total Nacional;01 Andalucía;Marzo;Mujeres;3.122
Total Nacional;01 Andalucía;Abril;Total;5.963
Total Nacional;01 Andalucía;Abril;Hombres;2.997
Total Nacional;01 Andalucía;Abril;Mujeres;2.966
Total Nacional;01 Andalucía;Mayo;Total;6.043
Total Nacional;01 Andalucía;Mayo;Hombres;3.122
Total Nacional;01 Andalucía;Mayo;Mujeres;2.921
Total Nacional;01 Andalucía;Junio;Total;5.528
Total Nacional;01 Andalucía;Junio;Hombres;2.794
Total Nacional;01 Andalucía;Junio;Mujeres;2.734
Total Nacional;01 Andalucía;Julio;Total;6.206
Total Nacional;01 Andalucía;Julio;Hombres;3.174
Total Nacional;01 Andalucía;Julio;Mujeres;3.032
Total Nacional;01 Andalucía;Agosto;Total;6.860
Total Nacional;01 Andalucía;Agosto;Hombres;3.514
Total Nacional;01 Andalucía;Agosto;Mujeres;3.346
Total Nacional;01 Andalucía;Septiembre;Total;5.687
Total Nacional;01 Andalucía;Septiembre;Hombres;3.008
Total Nacional;01 Andalucía;Septiembre;Mujeres;2.679
Total Nacional;01 Andalucía;Octubre;Total;5.923
Total Nacional;01 Andalucía;Octubre;Hombres;3.066
Total Nacional;01 Andalucía;Octubre;Mujeres;2.857
Total Nacional;01 Andalucía;Noviembre;Total;6.359
Total Nacional;01 Andalucía;Noviembre;Hombres;3.284
Total Nacional;01 Andalucía;Noviembre;Mujeres;3.075
Total Nacional;01 Andalucía;Diciembre;Total;7.388
Total Nacional;01 Andalucía;Diciembre;Hombres;3.741
Total Nacional;01 Andalucía;Diciembre;Mujeres;3.647
Total Nacional;02 Aragón;Total;Total;14.485
Total Nacional;02 Aragón;Total;Hombres;7.370
Total Nacional;02 Aragón;Total;Mujeres;7.115
Total Nacional;02 Aragón;Enero;Total;1.524
Total Nacional;02 Aragón;Enero;Hombres;753
Total Nacional;02 Aragón;Enero;Mujeres;771
Total Nacional;02 Aragón;Febrero;Total;1.267
Total Nacional;02 Aragón;Febrero;Hombres;671
Total Nacional;02 Aragón;Febrero;Mujeres;596
Total Nacional;02 Aragón;Marzo;Total;1.183
Total Nacional;02 Aragón;Marzo;Hombres;649
Total Nacional;02 Aragón;Marzo;Mujeres;534
Total Nacional;02 Aragón;Abril;Total;1.197
Total Nacional;02 Aragón;Abril;Hombres;630
Total Nacional;02 Aragón;Abril;Mujeres;567
Total Nacional;02 Aragón;Mayo;Total;1.122
Total Nacional;02 Aragón;Mayo;Hombres;585
Total Nacional;02 Aragón;Mayo;Mujeres;537
Total Nacional;02 Aragón;Junio;Total;1.042
Total Nacional;02 Aragón;Junio;Hombres;529
Total Nacional;02 Aragón;Junio;Mujeres;513
Total Nacional;02 Aragón;Julio;Total;1.195
Total Nacional;02 Aragón;Julio;Hombres;578
Total Nacional;02 Aragón;Julio;Mujeres;617
Total Nacional;02 Aragón;Agosto;Total;1.212
Total Nacional;02 Aragón;Agosto;Hombres;604
Total Nacional;02 Aragón;Agosto;Mujeres;608
Total Nacional;02 Aragón;Septiembre;Total;1.068
Total Nacional;02 Aragón;Septiembre;Hombres;536
Total Nacional;02 Aragón;Septiembre;Mujeres;532
Total Nacional;02 Aragón;Octubre;Total;1.167
Total Nacional;02 Aragón;Octubre;Hombres;583
Total Nacional;02 Aragón;Octubre;Mujeres;584
Total Nacional;02 Aragón;Noviembre;Total;1.163
Total Nacional;02 Aragón;Noviembre;Hombres;556
Total Nacional;02 Aragón;Noviembre;Mujeres;607
Total Nacional;02 Aragón;Diciembre;Total;1.345
Total Nacional;02 Aragón;Diciembre;Hombres;696
Total Nacional;02 Aragón;Diciembre;Mujeres;649
Total Nacional;03 Asturias, Principado de;Total;Total;13.366
Total Nacional;03 Asturias, Principado de;Total;Hombres;6.453
Total Nacional;03 Asturias, Principado de;Total;Mujeres;6.913
Total Nacional;03 Asturias, Principado de;Enero;Total;1.489
Total Nacional;03 Asturias, Principado de;Enero;Hombres;741
Total Nacional;03 Asturias, Principado de;Enero;Mujeres;748
Total Nacional;03 Asturias, Principado de;Febrero;Total;1.159
Total Nacional;03 Asturias, Principado de;Febrero;Hombres;550
Total Nacional;03 Asturias, Principado de;Febrero;Mujeres;609
Total Nacional;03 Asturias, Principado de;Marzo;Total;1.151
Total Nacional;03 Asturias, Principado de;Marzo;Hombres;568
Total Nacional;03 Asturias, Principado de;Marzo;Mujeres;583
Total Nacional;03 Asturias, Principado de;Abril;Total;1.038
Total Nacional;03 Asturias, Principado de;Abril;Hombres;495
Total Nacional;03 Asturias, Principado de;Abril;Mujeres;543
Total Nacional;03 Asturias, Principado de;Mayo;Total;1.039
Total Nacional;03 Asturias, Principado de;Mayo;Hombres;484
Total Nacional;03 Asturias, Principado de;Mayo;Mujeres;555
Total Nacional;03 Asturias, Principado de;Junio;Total;962
Total Nacional;03 Asturias, Principado de;Junio;Hombres;472
Total Nacional;03 Asturias, Principado de;Junio;Mujeres;490
Total Nacional;03 Asturias, Principado de;Julio;Total;976
Total Nacional;03 Asturias, Principado de;Julio;Hombres;498
Total Nacional;03 Asturias, Principado de;Julio;Mujeres;478
Total Nacional;03 Asturias, Principado de;Agosto;Total;1.039
Total Nacional;03 Asturias, Principado de;Agosto;Hombres;497
Total Nacional;03 Asturias, Principado de;Agosto;Mujeres;542
Total Nacional;03 Asturias, Principado de;Septiembre;Total;961
Total Nacional;03 Asturias, Principado de;Septiembre;Hombres;465
Total Nacional;03 Asturias, Principado de;Septiembre;Mujeres;496
Total Nacional;03 Asturias, Principado de;Octubre;Total;1.118
Total Nacional;03 Asturias, Principado de;Octubre;Hombres;526
Total Nacional;03 Asturias, Principado de;Octubre;Mujeres;592
Total Nacional;03 Asturias, Principado de;Noviembre;Total;1.119
Total Nacional;03 Asturias, Principado de;Noviembre;Hombres;523
Total Nacional;03 Asturias, Principado de;Noviembre;Mujeres;596
Total Nacional;03 Asturias, Principado de;Diciembre;Total;1.315
